top - 16:48:38 up 2 days,  2:01,  0 users,  load average: 0,38, 0,55, 0,50
Tasks: 274 total,   3 running, 271 sleeping,   0 stopped,   0 zombie
%Cpu(s): 37,9 us,  7,6 sy,  0,0 ni, 54,5 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7782,7 total,    306,5 free,   2382,3 used,   5093,8 buff/cache
MiB Swap:   2048,0 total,   2047,7 free,      0,2 used.   4954,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  33341 dead_sp+  20   0 4079148 106972  68076 S  93,8   1,3   0:02.49 vsdbg-ui
  31143 dead_sp+  20   0 4633052  81284  64928 S   0,0   1,0   0:00.60 code
  31176 dead_sp+  20   0   21780   4940   3548 S   0,0   0,1   0:00.02 bash
  31183 dead_sp+  20   0 4001616 109248  55364 S   0,0   1,4   0:05.20 rzls
  31202 dead_sp+  20   0   20664   3460   3164 S   0,0   0,0   0:00.00 bash
  31209 dead_sp+  20   0 2394340 388692  55896 S   0,0   4,9   0:40.13 mono
  31368 dead_sp+  20   0 4638300  82012  65244 S   0,0   1,0   0:00.61 code
  31480 root      20   0       0      0      0 I   0,0   0,0   0:01.25 kworker+
  31562 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker+
  31588 dead_sp+  20   0 4603340  90476  62020 S   0,0   1,1   0:01.43 code
  31824 dead_sp+  20   0 2433396 121444  93576 S   0,0   1,5   0:01.31 Privile+
  31876 dead_sp+  20   0 2428068 103104  83404 S   0,0   1,3   0:00.93 WebExte+
  31927 dead_sp+  20   0 2434516 110460  92256 S   0,0   1,4   0:02.21 Web Con+
  31982 root      20   0       0      0      0 I   0,0   0,0   0:00.41 kworker+
  32033 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  32050 dead_sp+  20   0 2396492  76444  65084 S   0,0   1,0   0:00.12 Web Con+
  32449 root      20   0       0      0      0 I   0,0   0,0   0:00.42 kworker+
  33131 root      20   0       0      0      0 I   0,0   0,0   0:00.21 kworker+
  33359 dead_sp+  20   0   20,4g  81248  43372 S   0,0   1,0   0:01.14 dotnet
  33409 dead_sp+  20   0   20664   3268   3024 S   0,0   0,0   0:00.00 bash
